2021-05-23 01:33:54,127 - classify1.py[line:68] - INFO: Namespace(batch_size=64, dataset='Subj', epoch=50, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=132, seed=1, use_aug=0)
2021-05-23 01:33:58,680 - classify1.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 50, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-23 01:33:58,963 - classify1.py[line:140] - INFO: before training: 0.5
2021-05-23 01:33:58,963 - classify1.py[line:154] - INFO: ...start training...
2021-05-23 01:33:59,124 - classify1.py[line:184] - INFO: Epoch 0, toal_loss 7.0209, aver loss 1.0030, train accuracy 0.5165, train auc 0.0000, test accuracy 0.5000, test auc 0.0000
2021-05-23 01:34:03,914 - classify1.py[line:184] - INFO: Epoch 37, toal_loss 2.0479, aver loss 0.0077, train accuracy 0.8951, train auc 0.0000, test accuracy 0.8023, test auc 0.0000
2021-05-23 01:34:04,058 - classify1.py[line:184] - INFO: Epoch 38, toal_loss 1.9981, aver loss 0.0073, train accuracy 0.8811, train auc 0.0000, test accuracy 0.7928, test auc 0.0000
2021-05-23 01:34:04,200 - classify1.py[line:184] - INFO: Epoch 39, toal_loss 1.9314, aver loss 0.0069, train accuracy 0.8996, train auc 0.0000, test accuracy 0.7953, test auc 0.0000
2021-05-23 01:34:04,346 - classify1.py[line:184] - INFO: Epoch 40, toal_loss 1.9989, aver loss 0.0070, train accuracy 0.8973, train auc 0.0000, test accuracy 0.7988, test auc 0.0000
2021-05-23 01:34:04,489 - classify1.py[line:184] - INFO: Epoch 41, toal_loss 1.8612, aver loss 0.0063, train accuracy 0.9152, train auc 0.0000, test accuracy 0.7938, test auc 0.0000
2021-05-23 01:34:04,633 - classify1.py[line:184] - INFO: Epoch 42, toal_loss 2.0768, aver loss 0.0069, train accuracy 0.9018, train auc 0.0000, test accuracy 0.8018, test auc 0.0000
2021-05-23 01:34:04,776 - classify1.py[line:184] - INFO: Epoch 43, toal_loss 1.8069, aver loss 0.0059, train accuracy 0.9062, train auc 0.0000, test accuracy 0.7988, test auc 0.0000
2021-05-23 01:34:04,911 - classify1.py[line:184] - INFO: Epoch 44, toal_loss 1.8601, aver loss 0.0059, train accuracy 0.9152, train auc 0.0000, test accuracy 0.7883, test auc 0.0000
2021-05-23 01:34:05,049 - classify1.py[line:184] - INFO: Epoch 45, toal_loss 1.8641, aver loss 0.0058, train accuracy 0.8996, train auc 0.0000, test accuracy 0.8023, test auc 0.0000
2021-05-23 01:34:05,187 - classify1.py[line:184] - INFO: Epoch 46, toal_loss 2.0147, aver loss 0.0061, train accuracy 0.9129, train auc 0.0000, test accuracy 0.7973, test auc 0.0000
2021-05-23 01:34:05,326 - classify1.py[line:184] - INFO: Epoch 47, toal_loss 1.7850, aver loss 0.0053, train accuracy 0.8900, train auc 0.0000, test accuracy 0.7978, test auc 0.0000
2021-05-23 01:34:05,462 - classify1.py[line:184] - INFO: Epoch 48, toal_loss 1.9053, aver loss 0.0056, train accuracy 0.9107, train auc 0.0000, test accuracy 0.8018, test auc 0.0000
2021-05-23 01:34:05,603 - classify1.py[line:184] - INFO: Epoch 49, toal_loss 1.7569, aver loss 0.0050, train accuracy 0.9129, train auc 0.0000, test accuracy 0.7988, test auc 0.0000
2021-05-23 01:34:06,110 - classify1.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 50, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-23 01:34:06,128 - classify1.py[line:140] - INFO: before training: 0.5095095038414001
2021-05-23 01:34:06,128 - classify1.py[line:154] - INFO: ...start training...
2021-05-23 01:34:06,397 - classify1.py[line:184] - INFO: Epoch 0, toal_loss 8.8935, aver loss 0.6841, train accuracy 0.5707, train auc 0.0000, test accuracy 0.6326, test auc 0.0000
2021-05-23 01:34:06,660 - classify1.py[line:184] - INFO: Epoch 1, toal_loss 7.9887, aver loss 0.3073, train accuracy 0.7002, train auc 0.0000, test accuracy 0.7037, test auc 0.0000
2021-05-23 01:34:06,923 - classify1.py[line:184] - INFO: Epoch 2, toal_loss 7.3058, aver loss 0.1873, train accuracy 0.7626, train auc 0.0000, test accuracy 0.7477, test auc 0.0000
2021-05-23 01:34:07,202 - classify1.py[line:184] - INFO: Epoch 3, toal_loss 6.7826, aver loss 0.1304, train accuracy 0.7987, train auc 0.0000, test accuracy 0.7663, test auc 0.0000
2021-05-23 01:34:07,474 - classify1.py[line:184] - INFO: Epoch 4, toal_loss 6.3009, aver loss 0.0969, train accuracy 0.8118, train auc 0.0000, test accuracy 0.7848, test auc 0.0000
2021-05-23 01:34:07,738 - classify1.py[line:184] - INFO: Epoch 5, toal_loss 5.9868, aver loss 0.0768, train accuracy 0.8156, train auc 0.0000, test accuracy 0.7968, test auc 0.0000
2021-05-23 01:34:08,013 - classify1.py[line:184] - INFO: Epoch 6, toal_loss 5.7084, aver loss 0.0627, train accuracy 0.8253, train auc 0.0000, test accuracy 0.8028, test auc 0.0000
2021-05-23 01:34:08,279 - classify1.py[line:184] - INFO: Epoch 7, toal_loss 5.5608, aver loss 0.0535, train accuracy 0.8226, train auc 0.0000, test accuracy 0.8083, test auc 0.0000
2021-05-23 01:34:08,552 - classify1.py[line:184] - INFO: Epoch 8, toal_loss 5.1653, aver loss 0.0441, train accuracy 0.8411, train auc 0.0000, test accuracy 0.8083, test auc 0.0000
2021-05-23 01:34:08,814 - classify1.py[line:184] - INFO: Epoch 9, toal_loss 5.0701, aver loss 0.0390, train accuracy 0.8508, train auc 0.0000, test accuracy 0.8108, test auc 0.0000
2021-05-23 01:34:09,078 - classify1.py[line:184] - INFO: Epoch 10, toal_loss 5.0308, aver loss 0.0352, train accuracy 0.8422, train auc 0.0000, test accuracy 0.8223, test auc 0.0000
2021-05-23 01:34:09,343 - classify1.py[line:184] - INFO: Epoch 11, toal_loss 4.9187, aver loss 0.0315, train accuracy 0.8494, train auc 0.0000, test accuracy 0.8218, test auc 0.0000
2021-05-23 01:34:09,607 - classify1.py[line:184] - INFO: Epoch 12, toal_loss 4.7418, aver loss 0.0281, train accuracy 0.8495, train auc 0.0000, test accuracy 0.8213, test auc 0.0000
2021-05-23 01:34:09,876 - classify1.py[line:184] - INFO: Epoch 13, toal_loss 4.6117, aver loss 0.0253, train accuracy 0.8543, train auc 0.0000, test accuracy 0.8238, test auc 0.0000
2021-05-23 01:34:10,160 - classify1.py[line:184] - INFO: Epoch 14, toal_loss 4.4905, aver loss 0.0230, train accuracy 0.8483, train auc 0.0000, test accuracy 0.8313, test auc 0.0000
2021-05-23 01:34:10,401 - classify1.py[line:184] - INFO: Epoch 15, toal_loss 4.6324, aver loss 0.0223, train accuracy 0.8675, train auc 0.0000, test accuracy 0.8228, test auc 0.0000
2021-05-23 01:34:10,631 - classify1.py[line:184] - INFO: Epoch 16, toal_loss 4.3464, aver loss 0.0197, train accuracy 0.8820, train auc 0.0000, test accuracy 0.8248, test auc 0.0000
2021-05-23 01:34:10,905 - classify1.py[line:184] - INFO: Epoch 17, toal_loss 4.4399, aver loss 0.0190, train accuracy 0.8881, train auc 0.0000, test accuracy 0.8278, test auc 0.0000
2021-05-23 01:34:11,173 - classify1.py[line:184] - INFO: Epoch 18, toal_loss 4.3397, aver loss 0.0176, train accuracy 0.8736, train auc 0.0000, test accuracy 0.8263, test auc 0.0000
2021-05-23 01:34:11,433 - classify1.py[line:184] - INFO: Epoch 19, toal_loss 4.1670, aver loss 0.0160, train accuracy 0.8676, train auc 0.0000, test accuracy 0.8323, test auc 0.0000
2021-05-23 01:34:11,695 - classify1.py[line:184] - INFO: Epoch 20, toal_loss 4.1434, aver loss 0.0152, train accuracy 0.8785, train auc 0.0000, test accuracy 0.8318, test auc 0.0000
2021-05-23 01:34:11,954 - classify1.py[line:184] - INFO: Epoch 21, toal_loss 4.0903, aver loss 0.0143, train accuracy 0.8796, train auc 0.0000, test accuracy 0.8308, test auc 0.0000
2021-05-23 01:34:12,216 - classify1.py[line:184] - INFO: Epoch 22, toal_loss 4.0281, aver loss 0.0135, train accuracy 0.8699, train auc 0.0000, test accuracy 0.8303, test auc 0.0000
2021-05-23 01:34:12,473 - classify1.py[line:184] - INFO: Epoch 23, toal_loss 3.9478, aver loss 0.0127, train accuracy 0.8928, train auc 0.0000, test accuracy 0.8293, test auc 0.0000
2021-05-23 01:34:12,733 - classify1.py[line:184] - INFO: Epoch 24, toal_loss 3.7869, aver loss 0.0117, train accuracy 0.8796, train auc 0.0000, test accuracy 0.8298, test auc 0.0000
2021-05-23 01:34:12,997 - classify1.py[line:184] - INFO: Epoch 25, toal_loss 3.7485, aver loss 0.0111, train accuracy 0.8879, train auc 0.0000, test accuracy 0.8283, test auc 0.0000
2021-05-23 01:34:13,261 - classify1.py[line:184] - INFO: Epoch 26, toal_loss 3.8320, aver loss 0.0109, train accuracy 0.8904, train auc 0.0000, test accuracy 0.8373, test auc 0.0000
2021-05-23 01:34:13,526 - classify1.py[line:184] - INFO: Epoch 27, toal_loss 3.8092, aver loss 0.0105, train accuracy 0.8723, train auc 0.0000, test accuracy 0.8358, test auc 0.0000
2021-05-23 01:34:13,795 - classify1.py[line:184] - INFO: Epoch 28, toal_loss 3.7132, aver loss 0.0098, train accuracy 0.9074, train auc 0.0000, test accuracy 0.8288, test auc 0.0000
2021-05-23 01:34:14,059 - classify1.py[line:184] - INFO: Epoch 29, toal_loss 3.7357, aver loss 0.0096, train accuracy 0.8940, train auc 0.0000, test accuracy 0.8223, test auc 0.0000
2021-05-23 01:34:14,323 - classify1.py[line:184] - INFO: Epoch 30, toal_loss 3.5027, aver loss 0.0087, train accuracy 0.8917, train auc 0.0000, test accuracy 0.8273, test auc 0.0000
2021-05-23 01:34:14,588 - classify1.py[line:184] - INFO: Epoch 31, toal_loss 3.5145, aver loss 0.0084, train accuracy 0.9073, train auc 0.0000, test accuracy 0.8308, test auc 0.0000
2021-05-23 01:34:14,849 - classify1.py[line:184] - INFO: Epoch 32, toal_loss 3.6352, aver loss 0.0085, train accuracy 0.8989, train auc 0.0000, test accuracy 0.8288, test auc 0.0000
2021-05-23 01:34:15,108 - classify1.py[line:184] - INFO: Epoch 33, toal_loss 3.5809, aver loss 0.0081, train accuracy 0.8855, train auc 0.0000, test accuracy 0.8323, test auc 0.0000
2021-05-23 01:34:15,372 - classify1.py[line:184] - INFO: Epoch 34, toal_loss 3.5099, aver loss 0.0077, train accuracy 0.9025, train auc 0.0000, test accuracy 0.8293, test auc 0.0000
2021-05-23 01:34:15,620 - classify1.py[line:184] - INFO: Epoch 35, toal_loss 3.4009, aver loss 0.0073, train accuracy 0.9145, train auc 0.0000, test accuracy 0.8273, test auc 0.0000
2021-05-23 01:34:15,844 - classify1.py[line:184] - INFO: Epoch 36, toal_loss 3.2401, aver loss 0.0067, train accuracy 0.9038, train auc 0.0000, test accuracy 0.8348, test auc 0.0000
2021-05-23 01:34:16,065 - classify1.py[line:184] - INFO: Epoch 37, toal_loss 3.1956, aver loss 0.0065, train accuracy 0.9170, train auc 0.0000, test accuracy 0.8268, test auc 0.0000
2021-05-23 01:34:16,288 - classify1.py[line:184] - INFO: Epoch 38, toal_loss 3.4301, aver loss 0.0068, train accuracy 0.9048, train auc 0.0000, test accuracy 0.8283, test auc 0.0000
2021-05-23 01:34:16,510 - classify1.py[line:184] - INFO: Epoch 39, toal_loss 3.3236, aver loss 0.0064, train accuracy 0.9038, train auc 0.0000, test accuracy 0.8223, test auc 0.0000
2021-05-23 01:34:16,737 - classify1.py[line:184] - INFO: Epoch 40, toal_loss 3.3386, aver loss 0.0063, train accuracy 0.9050, train auc 0.0000, test accuracy 0.8338, test auc 0.0000
2021-05-23 01:34:16,980 - classify1.py[line:184] - INFO: Epoch 41, toal_loss 3.1447, aver loss 0.0058, train accuracy 0.9061, train auc 0.0000, test accuracy 0.8243, test auc 0.0000
2021-05-23 01:34:17,247 - classify1.py[line:184] - INFO: Epoch 42, toal_loss 3.1714, aver loss 0.0057, train accuracy 0.9108, train auc 0.0000, test accuracy 0.8208, test auc 0.0000
2021-05-23 01:34:17,513 - classify1.py[line:184] - INFO: Epoch 43, toal_loss 3.0736, aver loss 0.0054, train accuracy 0.9182, train auc 0.0000, test accuracy 0.8268, test auc 0.0000
2021-05-23 01:34:17,783 - classify1.py[line:184] - INFO: Epoch 44, toal_loss 3.1558, aver loss 0.0054, train accuracy 0.9085, train auc 0.0000, test accuracy 0.8323, test auc 0.0000
2021-05-23 01:34:18,049 - classify1.py[line:184] - INFO: Epoch 45, toal_loss 3.1492, aver loss 0.0053, train accuracy 0.9109, train auc 0.0000, test accuracy 0.8298, test auc 0.0000
2021-05-23 01:34:18,315 - classify1.py[line:184] - INFO: Epoch 46, toal_loss 3.0559, aver loss 0.0050, train accuracy 0.9110, train auc 0.0000, test accuracy 0.8268, test auc 0.0000
2021-05-23 01:34:18,573 - classify1.py[line:184] - INFO: Epoch 47, toal_loss 3.1091, aver loss 0.0050, train accuracy 0.9207, train auc 0.0000, test accuracy 0.8253, test auc 0.0000
2021-05-23 01:34:18,843 - classify1.py[line:184] - INFO: Epoch 48, toal_loss 2.9923, aver loss 0.0047, train accuracy 0.9230, train auc 0.0000, test accuracy 0.8238, test auc 0.0000
2021-05-23 01:34:19,104 - classify1.py[line:184] - INFO: Epoch 49, toal_loss 3.0277, aver loss 0.0047, train accuracy 0.9326, train auc 0.0000, test accuracy 0.8253, test auc 0.0000
2021-05-23 01:34:19,554 - classify1.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 50, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-23 01:34:19,573 - classify1.py[line:140] - INFO: before training: 0.5090090036392212
2021-05-23 01:34:19,573 - classify1.py[line:154] - INFO: ...start training...
2021-05-23 01:34:20,082 - classify1.py[line:184] - INFO: Epoch 0, toal_loss 16.2482, aver loss 0.6499, train accuracy 0.6204, train auc 0.0000, test accuracy 0.6967, test auc 0.0000
2021-05-23 01:34:20,596 - classify1.py[line:184] - INFO: Epoch 1, toal_loss 14.0037, aver loss 0.2801, train accuracy 0.7511, train auc 0.0000, test accuracy 0.7648, test auc 0.0000
2021-05-23 01:34:21,113 - classify1.py[line:184] - INFO: Epoch 2, toal_loss 12.6374, aver loss 0.1685, train accuracy 0.7837, train auc 0.0000, test accuracy 0.7918, test auc 0.0000
2021-05-23 01:34:21,623 - classify1.py[line:184] - INFO: Epoch 3, toal_loss 11.6579, aver loss 0.1166, train accuracy 0.8187, train auc 0.0000, test accuracy 0.7998, test auc 0.0000
2021-05-23 01:34:22,144 - classify1.py[line:184] - INFO: Epoch 4, toal_loss 11.0147, aver loss 0.0881, train accuracy 0.8249, train auc 0.0000, test accuracy 0.8138, test auc 0.0000
2021-05-23 01:34:22,662 - classify1.py[line:184] - INFO: Epoch 5, toal_loss 10.5045, aver loss 0.0700, train accuracy 0.8312, train auc 0.0000, test accuracy 0.8148, test auc 0.0000
2021-05-23 01:34:23,164 - classify1.py[line:184] - INFO: Epoch 6, toal_loss 9.9804, aver loss 0.0570, train accuracy 0.8387, train auc 0.0000, test accuracy 0.8263, test auc 0.0000
2021-05-23 01:34:23,676 - classify1.py[line:184] - INFO: Epoch 7, toal_loss 9.8007, aver loss 0.0490, train accuracy 0.8480, train auc 0.0000, test accuracy 0.8278, test auc 0.0000
2021-05-23 01:34:24,183 - classify1.py[line:184] - INFO: Epoch 8, toal_loss 9.6800, aver loss 0.0430, train accuracy 0.8512, train auc 0.0000, test accuracy 0.8268, test auc 0.0000
2021-05-23 01:34:24,687 - classify1.py[line:184] - INFO: Epoch 9, toal_loss 9.3130, aver loss 0.0373, train accuracy 0.8537, train auc 0.0000, test accuracy 0.8368, test auc 0.0000
2021-05-23 01:34:25,204 - classify1.py[line:184] - INFO: Epoch 10, toal_loss 8.8940, aver loss 0.0323, train accuracy 0.8562, train auc 0.0000, test accuracy 0.8243, test auc 0.0000
2021-05-23 01:34:25,709 - classify1.py[line:184] - INFO: Epoch 11, toal_loss 9.0010, aver loss 0.0300, train accuracy 0.8530, train auc 0.0000, test accuracy 0.8233, test auc 0.0000
2021-05-23 01:34:26,225 - classify1.py[line:184] - INFO: Epoch 12, toal_loss 8.8684, aver loss 0.0273, train accuracy 0.8562, train auc 0.0000, test accuracy 0.8393, test auc 0.0000
2021-05-23 01:34:26,677 - classify1.py[line:184] - INFO: Epoch 13, toal_loss 8.5780, aver loss 0.0245, train accuracy 0.8649, train auc 0.0000, test accuracy 0.8263, test auc 0.0000
2021-05-23 01:34:27,108 - classify1.py[line:184] - INFO: Epoch 14, toal_loss 8.2797, aver loss 0.0221, train accuracy 0.8593, train auc 0.0000, test accuracy 0.8313, test auc 0.0000
2021-05-23 01:34:27,625 - classify1.py[line:184] - INFO: Epoch 15, toal_loss 8.3211, aver loss 0.0208, train accuracy 0.8749, train auc 0.0000, test accuracy 0.8343, test auc 0.0000
2021-05-23 01:34:28,144 - classify1.py[line:184] - INFO: Epoch 16, toal_loss 8.2994, aver loss 0.0195, train accuracy 0.8612, train auc 0.0000, test accuracy 0.8298, test auc 0.0000
2021-05-23 01:34:28,696 - classify1.py[line:184] - INFO: Epoch 17, toal_loss 7.9961, aver loss 0.0178, train accuracy 0.8687, train auc 0.0000, test accuracy 0.8398, test auc 0.0000
2021-05-23 01:34:29,225 - classify1.py[line:184] - INFO: Epoch 18, toal_loss 8.0393, aver loss 0.0169, train accuracy 0.8650, train auc 0.0000, test accuracy 0.8283, test auc 0.0000
2021-05-23 01:34:29,753 - classify1.py[line:184] - INFO: Epoch 19, toal_loss 7.8331, aver loss 0.0157, train accuracy 0.8668, train auc 0.0000, test accuracy 0.8348, test auc 0.0000
2021-05-23 01:34:30,286 - classify1.py[line:184] - INFO: Epoch 20, toal_loss 7.9584, aver loss 0.0152, train accuracy 0.8731, train auc 0.0000, test accuracy 0.8338, test auc 0.0000
2021-05-23 01:34:30,818 - classify1.py[line:184] - INFO: Epoch 21, toal_loss 7.5947, aver loss 0.0138, train accuracy 0.8787, train auc 0.0000, test accuracy 0.8358, test auc 0.0000
2021-05-23 01:34:31,258 - classify1.py[line:184] - INFO: Epoch 22, toal_loss 7.6636, aver loss 0.0133, train accuracy 0.8862, train auc 0.0000, test accuracy 0.8388, test auc 0.0000
2021-05-23 01:34:31,684 - classify1.py[line:184] - INFO: Epoch 23, toal_loss 7.5282, aver loss 0.0125, train accuracy 0.8731, train auc 0.0000, test accuracy 0.8413, test auc 0.0000
2021-05-23 01:34:32,173 - classify1.py[line:184] - INFO: Epoch 24, toal_loss 7.4106, aver loss 0.0119, train accuracy 0.8762, train auc 0.0000, test accuracy 0.8428, test auc 0.0000
